#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2018 02 21 00 00  30  2.0  2.0   1.2    16    MM  MM 1023.6   3.9   8.6    MM   MM +1.0    MM
2018 02 20 23 00  40  2.0  3.0   1.2    16    MM  MM 1023.1   3.6   8.6    MM   MM +0.2    MM
2018 02 20 22 00  60  2.0  3.0   1.1    15    MM  MM 1022.7   3.5   8.5    MM   MM +0.1    MM
2018 02 20 21 00  80  2.0  3.0   1.2    15    MM  MM 1022.6   2.9   8.4    MM   MM +0.3    MM
2018 02 20 20 00  70  4.0  5.0   1.2    16    MM  MM 1022.9   2.5   8.4    MM   MM +1.1    MM
2018 02 20 19 00  90  5.0  7.0   1.3    16    MM  MM 1022.6   2.2   8.5    MM   MM +1.7    MM
2018 02 20 18 00  80  7.0  9.0   1.3    16    MM  MM 1022.3   2.5   8.4    MM   MM +1.8    MM
2018 02 20 17 00  80  8.0  9.0   1.3    17    MM  MM 1021.8   2.8   8.4    MM   MM +1.5    MM
2018 02 20 16 00  80  8.0 10.0   1.3    16    MM  MM 1020.9   3.0   8.3    MM   MM +0.7    MM
2018 02 20 15 00  90  8.0  9.0   1.4    16    MM  MM 1020.5   3.0   8.3    MM   MM +0.2    MM
2018 02 20 14 00  90  8.0 10.0   1.4    16    MM  MM 1020.3   3.0   8.4    MM   MM +0.0    MM
2018 02 20 13 00 100  9.0 10.0   1.3    16    MM  MM 1020.2   2.9   8.4    MM   MM -0.5    MM
2018 02 20 12 00 100  8.0 10.0   1.3    16    MM  MM 1020.3   3.3   8.4    MM   MM -0.8    MM
2018 02 20 11 00 100  8.0 10.0   1.3     8    MM  MM 1020.3   3.4   8.4    MM   MM -1.1    MM
2018 02 20 10 00 110  7.0  8.0   1.4     8    MM  MM 1020.7   3.1   8.4    MM   MM -0.7    MM
2018 02 20 09 00 120  7.0  8.0   1.3     9    MM  MM 1021.1   3.1   8.5    MM   MM -0.5    MM
2018 02 20 08 00 130  7.0  9.0   1.3     9    MM  MM 1021.4   3.2   8.5    MM   MM -0.4    MM
2018 02 20 07 00 190  4.0  6.0   1.3     9    MM  MM 1021.4   4.1   8.5    MM   MM -0.1    MM
2018 02 20 06 00 200  2.0  3.0   1.3     9    MM  MM 1021.6   4.3   8.5    MM   MM -0.4    MM
2018 02 20 05 00 170  2.0  2.0   1.4     9    MM  MM 1021.8   4.2   8.6    MM   MM -0.3    MM
2018 02 20 04 00 190  2.0  3.0   1.4    10    MM  MM 1021.5   4.3   8.6    MM   MM -0.7    MM
2018 02 20 03 00  80  1.0  4.0   1.4    10    MM  MM 1022.0   4.0   8.5    MM   MM -0.4    MM
2018 02 20 02 00 130  1.0  3.0   1.5    10    MM  MM 1022.1   3.8   8.6    MM   MM -0.8    MM
2018 02 20 01 00 260  2.0  3.0   1.7    10    MM  MM 1022.2   4.0   8.7    MM   MM -0.9    MM
2018 02 20 00 00 260  1.0  3.0   1.7     9    MM  MM 1022.4   4.1   8.7    MM   MM -1.2    MM
2018 02 19 23 00 240  1.0  3.0   1.7    10    MM  MM 1022.9   4.2   8.7    MM   MM -1.1    MM
2018 02 19 22 00 180  1.0  3.0   1.8    10    MM  MM 1023.1   4.2   8.8    MM   MM -1.2    MM
2018 02 19 21 00 230  1.0  3.0   2.0    10    MM  MM 1023.6   4.2   8.8    MM   MM -0.7    MM
2018 02 19 20 00 230  2.0  4.0   2.2    10    MM  MM 1024.0   4.3   8.7    MM   MM -0.5    MM
2018 02 19 19 00 240  1.0  3.0   2.0    10    MM  MM 1024.3   4.1   8.7    MM   MM +0.1    MM
2018 02 19 18 00 160  2.0  3.0   1.7     9    MM  MM 1024.3   4.1   8.6    MM   MM +1.0    MM
2018 02 19 17 00 210  2.0  3.0   2.0    10    MM  MM 1024.5   3.9   8.5    MM   MM +1.4    MM
2018 02 19 16 00 190  0.0  2.0   1.9    10    MM  MM 1024.2   3.5   8.4    MM   MM +1.5    MM
2018 02 19 15 00 110  1.0  2.0   2.0    11    MM  MM 1023.3   2.7   8.5    MM   MM +1.5    MM
2018 02 19 14 00 270  1.0  2.0   2.0    11    MM  MM 1023.1   2.5   8.5    MM   MM +1.4    MM
2018 02 19 13 00 350  1.0  2.0   2.0    11    MM  MM 1022.7   2.5   8.4    MM   MM +1.8    MM
2018 02 19 12 00  40  2.0  3.0   2.2    10    MM  MM 1021.8   2.5   8.4    MM   MM +1.4    MM
2018 02 19 11 00  20  2.0  4.0   2.1    11    MM  MM 1021.7   2.5   8.5    MM   MM +2.0    MM
2018 02 19 10 00   0  4.0  5.0   2.3    12    MM  MM 1020.9   2.7   8.5    MM   MM +1.5    MM
2018 02 19 09 00   0  4.0  5.0   2.6    11    MM  MM 1020.4   2.7   8.4    MM   MM +1.5    MM
2018 02 19 08 00   0  4.0  6.0   2.6    12    MM  MM 1019.7   2.7   8.4    MM   MM +1.2    MM
2018 02 19 07 00  20  4.0  6.0   2.5    11    MM  MM 1019.4   2.8   8.5    MM   MM +1.9    MM
2018 02 19 06 00  20  4.0  6.0   2.6    13    MM  MM 1018.9   2.9   8.5    MM   MM +1.9    MM
2018 02 19 05 00  30  4.0  7.0   2.7    12    MM  MM 1018.5   2.8   8.5    MM   MM +2.4    MM
2018 02 19 04 00  30  6.0  8.0   2.8    12    MM  MM 1017.5   2.8   8.4    MM   MM +2.7    MM
2018 02 19 03 00  20  6.0  8.0   2.9    13    MM  MM 1017.0   3.0   8.5    MM   MM +2.9    MM
2018 02 19 02 00  30  6.0  9.0   3.0    12    MM  MM 1016.1   3.1   8.5    MM   MM +2.8    MM
2018 02 19 01 00  40  9.0 12.0   3.4    13    MM  MM 1014.8   3.2   8.5    MM   MM +2.6    MM
2018 02 19 00 00  20  7.0  9.0   3.5    12    MM  MM 1014.1   3.4   8.6    MM   MM +2.4    MM
2018 02 18 23 00  10  6.0  8.0   3.1    12    MM  MM 1013.3   3.4   8.6    MM   MM +2.1    MM
