#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2018 01 23 18 00 130  9.0 12.0   5.3    10    MM  MM 1004.7   9.4   9.6    MM   MM -1.2    MM
2018 01 23 17 00 120 17.0 20.0   5.6     9    MM  MM 1004.6   7.7   9.5    MM   MM -3.0    MM
2018 01 23 16 00 120 16.0 20.0   4.7     8    MM  MM 1005.4   7.4   9.5    MM   MM -3.0    MM
2018 01 23 15 00 120 17.0 22.0   4.6     8    MM  MM 1005.9   7.5   9.5    MM   MM -4.3    MM
2018 01 23 14 00 120 16.0 20.0   3.9     8    MM  MM 1007.6   8.0   9.5    MM   MM -5.0    MM
2018 01 23 13 00 110 16.0 20.0   3.7     7    MM  MM 1008.4   8.0   9.5    MM   MM -5.8    MM
2018 01 23 12 00 110 16.0 20.0   3.6     6    MM  MM 1010.2   8.3   9.5    MM   MM -6.1    MM
2018 01 23 11 00 110 16.0 19.0   3.1    10    MM  MM 1012.6   8.3   9.4    MM   MM -5.7    MM
2018 01 23 10 00 110 15.0 18.0   3.0    11    MM  MM 1014.2   8.4   9.3    MM   MM -5.2    MM
2018 01 23 09 00 120 13.0 17.0   2.9    12    MM  MM 1016.3   8.6   9.2    MM   MM -4.0    MM
2018 01 23 08 00 120 11.0 13.0   2.9    11    MM  MM 1018.3   8.7   9.1    MM   MM -2.7    MM
2018 01 23 07 00 130 11.0 14.0   3.1    11    MM  MM 1019.4   8.6   9.1    MM   MM -2.0    MM
2018 01 23 06 00 140  9.0 12.0   3.1    12    MM  MM 1020.3   9.0   9.2    MM   MM -1.4    MM
2018 01 23 05 00 150  9.0 11.0   3.5    11    MM  MM 1021.0   8.9   9.3    MM   MM -1.2    MM
2018 01 23 04 00 150  8.0 10.0   3.3    12    MM  MM 1021.4   8.9   9.3    MM   MM -1.0    MM
2018 01 23 03 00 150  6.0  8.0   3.5    13    MM  MM 1021.7   8.8   9.4    MM   MM -0.7    MM
2018 01 23 02 00 140  5.0  6.0   3.2    12    MM  MM 1022.2   8.3   9.4    MM   MM -0.5    MM
2018 01 23 01 00 140  5.0  7.0   3.6    12    MM  MM 1022.4   7.9   9.4    MM   MM +0.0    MM
2018 01 23 00 00 140  3.0  5.0   3.8    13    MM  MM 1022.4   8.2   9.3    MM   MM -0.1    MM
2018 01 22 23 00 180  5.0  6.0   4.2    11    MM  MM 1022.7   8.3   9.3    MM   MM +0.3    MM
2018 01 22 22 00 190  5.0  7.0   4.1    12    MM  MM 1022.4   8.1   9.4    MM   MM +0.6    MM
2018 01 22 21 00 220  4.0  8.0   4.4    13    MM  MM 1022.5   8.4   9.4    MM   MM +1.3    MM
